ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
70,1.42e-08,1.70346,531441,8e+08,5.46719e-19,5.46707e-19,5.4671e-19,1.57946e-16,68921,1e+08,3.24593e-18,3.24593e-18,3.24593e-18,2.70544e-13,7.58685e-11,7.61392e-11
71,1.44e-08,1.72548,531441,8e+08,5.476e-19,5.47598e-19,5.47806e-19,1.62483e-16,68921,1e+08,3.29228e-18,3.29228e-18,3.29228e-18,2.78295e-13,7.58607e-11,7.61392e-11
72,1.46e-08,1.74741,531441,8e+08,5.48366e-19,5.48368e-19,5.48209e-19,1.67085e-16,68921,1e+08,3.33863e-18,3.33863e-18,3.33863e-18,2.86154e-13,7.58529e-11,7.61392e-11
73,1.48e-08,1.76905,531441,8e+08,5.49278e-19,5.4929e-19,5.49305e-19,1.71754e-16,68921,1e+08,3.38498e-18,3.38498e-18,3.38498e-18,2.9412e-13,7.58449e-11,7.61392e-11
74,1.5e-08,1.79043,531441,8e+08,5.49561e-19,5.49574e-19,5.49589e-19,1.76488e-16,68921,1e+08,3.43133e-18,3.43133e-18,3.43133e-18,3.02194e-13,7.58368e-11,7.61391e-11
75,1.52e-08,1.81231,531441,8e+08,5.50442e-19,5.50464e-19,5.5068e-19,1.81287e-16,68921,1e+08,3.47768e-18,3.47768e-18,3.47768e-18,3.10376e-13,7.58286e-11,7.61391e-11
76,1.54e-08,1.8341,531441,8e+08,5.51192e-19,5.51191e-19,5.51071e-19,1.86152e-16,68921,1e+08,3.52402e-18,3.52402e-18,3.52402e-18,3.18666e-13,7.58203e-11,7.61391e-11
77,1.56e-08,1.8554,531441,8e+08,5.5208e-19,5.52093e-19,5.52176e-19,1.91083e-16,68921,1e+08,3.57036e-18,3.57036e-18,3.57037e-18,3.27063e-13,7.58118e-11,7.61391e-11
78,1.58e-08,1.87717,531441,8e+08,5.52363e-19,5.52376e-19,5.52459e-19,1.9608e-16,68921,1e+08,3.61671e-18,3.61671e-18,3.61671e-18,3.35568e-13,7.58033e-11,7.61391e-11
79,1.6e-08,1.89915,531441,8e+08,5.53242e-19,5.53265e-19,5.53545e-19,2.01142e-16,68921,1e+08,3.66305e-18,3.66305e-18,3.66305e-18,3.4418e-13,7.57947e-11,7.6139e-11
80,1.62e-08,1.92063,531441,8e+08,5.53944e-19,5.53951e-19,5.53879e-19,2.06269e-16,68921,1e+08,3.70939e-18,3.70939e-18,3.70939e-18,3.52899e-13,7.57859e-11,7.6139e-11
81,1.64e-08,1.94269,531441,8e+08,6.79028e-19,6.79008e-19,6.78867e-19,2.11462e-16,68921,1e+08,3.75573e-18,3.75573e-18,3.75573e-18,3.61726e-13,7.57771e-11,7.6139e-11
82,1.66e-08,1.96426,531441,8e+08,6.7931e-19,6.7929e-19,6.79149e-19,2.16692e-16,68921,1e+08,3.80207e-18,3.80207e-18,3.80207e-18,3.70659e-13,7.57681e-11,7.6139e-11
83,1.68e-08,1.98577,531441,8e+08,6.80187e-19,6.80174e-19,6.80225e-19,2.21987e-16,68921,1e+08,3.84841e-18,3.84841e-18,3.84841e-18,3.797e-13,7.5759e-11,7.61389e-11
84,1.7e-08,2.0075,531441,8e+08,6.80882e-19,6.80865e-19,6.80544e-19,2.27348e-16,68921,1e+08,3.89474e-18,3.89474e-18,3.89475e-18,3.88847e-13,7.57498e-11,7.61389e-11
85,1.72e-08,2.02946,531441,8e+08,6.81763e-19,6.81753e-19,6.81751e-19,2.32774e-16,68921,1e+08,3.94108e-18,3.94108e-18,3.94108e-18,3.98102e-13,7.57406e-11,7.61389e-11
86,1.74e-08,2.0513,531441,8e+08,6.82044e-19,6.82034e-19,6.82032e-19,2.38266e-16,68921,1e+08,3.98741e-18,3.98741e-18,3.98742e-18,4.07463e-13,7.57312e-11,7.61389e-11
87,1.76e-08,2.07258,531441,8e+08,6.82918e-19,6.82914e-19,6.83103e-19,2.43823e-16,68921,1e+08,4.03375e-18,4.03375e-18,4.03375e-18,4.1693e-13,7.57217e-11,7.61388e-11
88,1.78e-08,2.09441,531441,8e+08,6.83679e-19,6.83649e-19,6.83415e-19,2.49446e-16,68921,1e+08,4.08008e-18,4.08008e-18,4.08008e-18,4.26504e-13,7.57121e-11,7.61388e-11
89,1.8e-08,2.1164,531441,8e+08,6.84635e-19,6.84644e-19,6.84657e-19,2.55134e-16,68921,1e+08,4.12641e-18,4.12641e-18,4.12641e-18,4.36185e-13,7.57023e-11,7.61388e-11
90,1.82e-08,2.13778,531441,8e+08,6.84916e-19,6.84924e-19,6.84937e-19,2.60887e-16,68921,1e+08,4.17274e-18,4.17274e-18,4.17274e-18,4.45971e-13,7.56925e-11,7.61387e-11
91,1.84e-08,2.15945,531441,8e+08,6.85781e-19,6.85797e-19,6.85997e-19,2.66706e-16,68921,1e+08,4.21907e-18,4.21907e-18,4.21907e-18,4.55864e-13,7.56826e-11,7.61387e-11
92,1.86e-08,2.18103,531441,8e+08,6.86526e-19,6.86528e-19,6.86368e-19,2.7259e-16,68921,1e+08,4.2654e-18,4.2654e-18,4.2654e-18,4.65863e-13,7.56725e-11,7.61387e-11
93,1.88e-08,2.20244,531441,8e+08,6.87412e-19,6.8743e-19,6.87505e-19,2.7854e-16,68921,1e+08,4.31172e-18,4.31172e-18,4.31172e-18,4.75969e-13,7.56624e-11,7.61386e-11
94,1.9e-08,2.22424,531441,8e+08,6.87692e-19,6.8771e-19,6.87785e-19,2.84555e-16,68921,1e+08,4.35805e-18,4.35805e-18,4.35805e-18,4.86179e-13,7.56521e-11,7.61386e-11
95,1.92e-08,2.24581,531441,8e+08,6.88555e-19,6.8858e-19,6.88839e-19,2.90635e-16,68921,1e+08,4.40437e-18,4.40437e-18,4.40437e-18,4.96496e-13,7.56418e-11,7.61386e-11
96,1.94e-08,2.26767,531441,8e+08,6.8928e-19,6.89294e-19,6.89206e-19,2.9678e-16,68921,1e+08,4.45069e-18,4.45069e-18,4.45069e-18,5.06919e-13,7.56313e-11,7.61385e-11
97,1.96e-08,2.28965,531441,8e+08,6.90252e-19,6.90257e-19,6.90363e-19,3.02991e-16,68921,1e+08,4.49701e-18,4.49701e-18,4.49701e-18,5.17446e-13,7.56207e-11,7.61385e-11
98,1.98e-08,2.31174,531441,8e+08,6.90531e-19,6.90537e-19,6.90642e-19,3.09267e-16,68921,1e+08,4.54333e-18,4.54333e-18,4.54333e-18,5.2808e-13,7.561e-11,7.61384e-11
99,2e-08,2.33424,531441,8e+08,6.91386e-19,6.91399e-19,6.91684e-19,3.15609e-16,68921,1e+08,4.58965e-18,4.58965e-18,4.58965e-18,5.38818e-13,7.55993e-11,7.61384e-11
100,2.02e-08,2.35627,531441,8e+08,8.29819e-19,8.2979e-19,8.29426e-19,3.22015e-16,68921,1e+08,4.63596e-18,4.63596e-18,4.63596e-18,5.49662e-13,7.55884e-11,7.61383e-11
101,2.04e-08,2.59122,531441,8e+08,8.3069e-19,8.30668e-19,8.30513e-19,3.28455e-16,68921,1e+08,4.68228e-18,4.68228e-18,4.68228e-18,5.60611e-13,7.55774e-11,7.61383e-11
102,2.06e-08,2.61372,531441,8e+08,8.30968e-19,8.30946e-19,8.30791e-19,3.3496e-16,68921,1e+08,4.72859e-18,4.72859e-18,4.72859e-18,5.71665e-13,7.55663e-11,7.61383e-11
103,2.08e-08,2.6358,531441,8e+08,8.31821e-19,8.31807e-19,8.3183e-19,3.4153e-16,68921,1e+08,4.7749e-18,4.7749e-18,4.7749e-18,5.82824e-13,7.55551e-11,7.61382e-11
104,2.1e-08,2.65985,531441,8e+08,8.32556e-19,8.32539e-19,8.32354e-19,3.48165e-16,68921,1e+08,4.82121e-18,4.82121e-18,4.82121e-18,5.94088e-13,7.55437e-11,7.61382e-11
105,2.12e-08,2.69059,531441,8e+08,8.33577e-19,8.33571e-19,8.33534e-19,3.54866e-16,68921,1e+08,4.86752e-18,4.86752e-18,4.86752e-18,6.05456e-13,7.55323e-11,7.61381e-11
106,2.14e-08,2.72398,531441,8e+08,8.33854e-19,8.33848e-19,8.33811e-19,3.61631e-16,68921,1e+08,4.91382e-18,4.91382e-18,4.91383e-18,6.16928e-13,7.55208e-11,7.61381e-11
107,2.16e-08,2.74882,531441,8e+08,8.34709e-19,8.3471e-19,8.34847e-19,3.68462e-16,68921,1e+08,4.96013e-18,4.96013e-18,4.96013e-18,6.28505e-13,7.55092e-11,7.61381e-11
108,2.18e-08,2.77066,531441,8e+08,8.35449e-19,8.35447e-19,8.35271e-19,3.75357e-16,68921,1e+08,5.00643e-18,5.00643e-18,5.00643e-18,6.40187e-13,7.54975e-11,7.61381e-11
109,2.2e-08,2.79279,531441,8e+08,8.36321e-19,8.36326e-19,8.36358e-19,3.82318e-16,68921,1e+08,5.05274e-18,5.05273e-18,5.05274e-18,6.51972e-13,7.54857e-11,7.6138e-11
110,2.22e-08,2.81449,531441,8e+08,8.36598e-19,8.36603e-19,8.36634e-19,3.89344e-16,68921,1e+08,5.09903e-18,5.09903e-18,5.09904e-18,6.63861e-13,7.54738e-11,7.6138e-11
111,2.24e-08,2.83597,531441,8e+08,8.37461e-19,8.37473e-19,8.37676e-19,3.96435e-16,68921,1e+08,5.14533e-18,5.14533e-18,5.14533e-18,6.75854e-13,7.54617e-11,7.6138e-11
112,2.26e-08,2.85808,531441,8e+08,8.38184e-19,8.38182e-19,8.38095e-19,4.0359e-16,68921,1e+08,5.19163e-18,5.19163e-18,5.19163e-18,6.87951e-13,7.54496e-11,7.6138e-11
113,2.28e-08,2.88036,531441,8e+08,8.39131e-19,8.39139e-19,8.39176e-19,4.10811e-16,68921,1e+08,5.23792e-18,5.23792e-18,5.23792e-18,7.00152e-13,7.54374e-11,7.6138e-11
114,2.3e-08,2.9018,531441,8e+08,8.39406e-19,8.39414e-19,8.39451e-19,4.18097e-16,68921,1e+08,5.28422e-18,5.28422e-18,5.28422e-18,7.12456e-13,7.54251e-11,7.61379e-11
115,2.32e-08,2.92355,531441,8e+08,8.40282e-19,8.40294e-19,8.40501e-19,4.25447e-16,68921,1e+08,5.33051e-18,5.33051e-18,5.33051e-18,7.24863e-13,7.54127e-11,7.61379e-11
116,2.34e-08,2.94543,531441,8e+08,8.40952e-19,8.40961e-19,8.40881e-19,4.32863e-16,68921,1e+08,5.3768e-18,5.3768e-18,5.3768e-18,7.37373e-13,7.54001e-11,7.61379e-11
117,2.36e-08,2.96897,531441,8e+08,8.41835e-19,8.41861e-19,8.41984e-19,4.40343e-16,68921,1e+08,5.42308e-18,5.42308e-18,5.42308e-18,7.49987e-13,7.53875e-11,7.6138e-11
118,2.38e-08,2.99053,531441,8e+08,8.42109e-19,8.42135e-19,8.42257e-19,4.47889e-16,68921,1e+08,5.46937e-18,5.46937e-18,5.46937e-18,7.62703e-13,7.53748e-11,7.6138e-11
119,2.4e-08,3.01228,531441,8e+08,8.43031e-19,8.43061e-19,8.43333e-19,4.55499e-16,68921,1e+08,5.51565e-18,5.51565e-18,5.51565e-18,7.75522e-13,7.5362e-11,7.6138e-11
120,2.42e-08,3.03558,531441,8e+08,8.46342e-19,8.4635e-19,8.46299e-19,4.63174e-16,68921,1e+08,5.56193e-18,5.56193e-18,5.56193e-18,7.88444e-13,7.53491e-11,7.6138e-11
121,2.44e-08,3.05901,531441,8e+08,9.95733e-19,9.95706e-19,9.95518e-19,4.70913e-16,68921,1e+08,5.60821e-18,5.60821e-18,5.60821e-18,8.01468e-13,7.53361e-11,7.6138e-11
122,2.46e-08,3.08059,531441,8e+08,9.96005e-19,9.95978e-19,9.9579e-19,4.78682e-16,68921,1e+08,5.65449e-18,5.65449e-18,5.65449e-18,8.14594e-13,7.5323e-11,7.61381e-11
